summoner_id,Unnamed: 0,summoner name,summoner_id,summonerid
28782293,,SAD BABA,28782293.0,
27710844,,Invay,27710844.0,
42727659,,SoFly01,42727659.0,
42658599,,Antwaun17,42658599.0,
26809216,,III Habibi III,26809216.0,
20968710,,The Noodle Shop,20968710.0,
23998342,,LOOL xD,23998342.0,
45265571,,Vivic sin,45265571.0,
19591700,,Jimmitrelas,19591700.0,
20031976,,Hamex,20031976.0,
20533586,,Anthony Truong,20533586.0,
35832192,,Zyra Bot,35832192.0,
31460490,,Sty1ePoints,31460490.0,
32352704,,fitemeirlfiget,32352704.0,
21697198,,ilyTaylor,21697198.0,
41213210,,DrewDozer,41213210.0,
48654997,,Mexicanpollo,48654997.0,
39971893,,Negativity,39971893.0,
39499994,,etp,39499994.0,
42079393,,Come Liquor,42079393.0,
21707194,,DevilsGrin,21707194.0,
27829458,,BankCrank,27829458.0,
21090872,,TehAllah,21090872.0,
19470393,,s7ylish,19470393.0,
20259346,,Iyde,20259346.0,
59994907,,StackeDG,59994907.0,
28376523,,Sinisterbot 7900,28376523.0,
25274519,,Jos1p Wiiaboo,25274519.0,
25072119,,Druee,25072119.0,
39002167,,Arcline,39002167.0,
32261651,,OhDamn I Died,32261651.0,
20402622,,Foarl,20402622.0,
69460833,,Lupred182,69460833.0,
20431376,,Valvez,20431376.0,
32837020,,Heimerdoodles,32837020.0,
34235388,,Willro,34235388.0,
22595128,,Mr Carbon,22595128.0,
48332888,,Papavitch,48332888.0,
52679846,,ZNF Eight11,52679846.0,
37051052,,BiuBiuBiuu,37051052.0,
43186951,,Excodar,43186951.0,
24437946,,zahmahkibo,24437946.0,
76623101,,Biz Biyombo,76623101.0,
80589242,,Jorderp,80589242.0,
32790952,,Uncle Sharon,32790952.0,
35220919,,IIlIlIlIlIlI,35220919.0,
20530189,,Neslo,20530189.0,
18983088,,Nubfish,18983088.0,
25936633,,mysticbolt,25936633.0,
46552702,,ECRacer,46552702.0,
25852779,,DamnYouSir,25852779.0,
48204183,,SamFkn1,48204183.0,
28960387,,Wiljyx,28960387.0,
28511296,,Indominus,28511296.0,
21482322,,jonasmazzalli,21482322.0,
24376648,,pr1m3,24376648.0,
30630759,,SwipeZ,30630759.0,
49040346,,megamagma6,49040346.0,
47531850,,True Jasian,47531850.0,
47069338,,I am a legends,47069338.0,
21967660,,The Koz of Death,21967660.0,
40629221,,ezybuddy,40629221.0,
24689081,,Flarvex,24689081.0,
26235960,,Boho The God,26235960.0,
43976424,,I am Rob,43976424.0,
34403218,,Mythikal,34403218.0,
45850805,,Flarebolt,45850805.0,
56006019,,IfNotaWalrus,56006019.0,
63539654,,SaySomethinOrDie,63539654.0,
36708580,,TL Kira,36708580.0,
21055572,,ilikebubbles,21055572.0,
45507228,,Claude Debussy,45507228.0,
25559669,,CagSwag,25559669.0,
