,A,CHAMPID,CHAMPID_Role,D,DATE,Index,K,KDA,PATCH,PLAYRATE,RANK,ROLE,Unnamed: 0,WINRATE,indexval,unique
0,7.658575400249257,81,81DUO_CARRY,5.0056178698111395,2017-07-09,,6.048950244463618,2.7384283022047895,7.13,0.05316018828012614,7.687833461971842,DUO_CARRY,,0.44906528616623526,DUO_CARRY812017-07-09,
0,7.713882352941177,110,110DUO_CARRY,5.251490196078431,2017-07-09,,6.069117647058824,2.624588352139076,7.13,0.05198292785517081,8.881710093288145,DUO_CARRY,,0.49533333333333335,DUO_CARRY1102017-07-09,
0,6.715606072524188,42,42MIDDLE,5.315779123731613,2017-07-09,,6.921124046251868,2.5653304626402975,7.13,0.051832075437081286,11.271843021177313,MIDDLE,,0.4990757492330685,MIDDLE422017-07-09,
0,11.192290141459834,20,20JUNGLE,4.071741761403091,2017-07-09,,2.7659266313513085,3.428070243826378,7.13,0.05137442181733674,12.75413178659595,JUNGLE,,0.5655814138047338,JUNGLE202017-07-09,
0,12.344774980930588,43,43DUO_SUPPORT,5.090128066160825,2017-07-09,,1.8679392990485366,2.7922115308778297,7.13,0.05077814705664508,5.38088759276248,DUO_SUPPORT,,0.45772612308804045,DUO_SUPPORT432017-07-09,
0,14.001687628078917,16,16DUO_SUPPORT,4.849700646924097,2017-07-09,,0.8020251536947001,3.0525003210585404,7.13,0.05073329904045631,9.55062115770653,DUO_SUPPORT,,0.5256760557720899,DUO_SUPPORT162017-07-09,
0,6.784006795291834,150,150TOP,5.439813129474579,2017-07-09,,5.046758079521093,2.1748476635548766,7.13,0.05039897746523089,10.841607384702877,TOP,,0.49217327994175464,TOP1502017-07-09,
0,13.596628549297785,25,25DUO_SUPPORT,5.464257322815386,2017-07-09,,2.4080392996188262,2.9289740404594307,7.13,0.050004518777388714,8.234758069944498,DUO_SUPPORT,,0.49348743349844065,DUO_SUPPORT252017-07-09,
0,4.896288324787407,157,157TOP,6.703023780886666,2017-07-09,,5.865311979067756,1.6054844284666454,7.13,0.04830437125459607,11.767877820408309,TOP,,0.5013610179147939,TOP1572017-07-09,
0,7.953987925007944,4,4MIDDLE,5.299142040038132,2017-07-09,,5.735112805846838,2.583267371854837,7.13,0.048114786458888975,9.722087999867169,MIDDLE,,0.5160470289164284,MIDDLE42017-07-09,
0,11.731438552606042,154,154JUNGLE,4.266016863260949,2017-07-09,,4.241368900006469,3.744196979194047,7.13,0.047266751243683056,15.543630551032784,JUNGLE,,0.5152351583895801,JUNGLE1542017-07-09,
0,7.353514204482842,41,41TOP,5.289004474026403,2017-07-09,,5.808564564829304,2.488573952612323,7.13,0.04624747814848362,13.641398389067103,TOP,,0.502633724902475,TOP412017-07-09,
0,6.047113636363636,7,7MIDDLE,5.1120909090909095,2017-07-09,,7.6333863636363635,2.676106556648231,7.13,0.04484801618877481,10.250538283305925,MIDDLE,,0.49575,MIDDLE72017-07-09,
0,9.169021368626437,59,59TOP,5.276969369284656,2017-07-09,,5.170949011495334,2.717463259042129,7.13,0.04335885819668845,11.848642527620061,TOP,,0.5167493359035238,TOP592017-07-09,
0,5.682033637304204,55,55MIDDLE,6.5818916772936165,2017-07-09,,9.497894660859941,2.3063169438859443,7.13,0.04236200910958341,12.125629687307564,MIDDLE,,0.5186833810543539,MIDDLE552017-07-09,
0,5.447182080924856,157,157MIDDLE,6.653131021194605,2017-07-09,,6.735645472061657,1.8311419862582266,7.13,0.04232021891268023,10.767509616652509,MIDDLE,,0.4838872832369942,MIDDLE1572017-07-09,
0,5.203813661597876,39,39TOP,5.693241612358195,2017-07-09,,6.558797972483707,2.0660657732404575,7.13,0.04222848433411228,11.11907185678172,TOP,,0.5019551049963794,TOP392017-07-09,
0,7.209751975744322,240,240TOP,5.229583975346687,2017-07-09,,6.011804761668075,2.5282234303419697,7.13,0.04101351080463456,12.435736872266608,TOP,,0.5130473681594513,TOP2402017-07-09,
0,7.232085668534828,34,34MIDDLE,4.204863891112891,2017-07-09,,6.028823058446758,3.1537070094014044,7.13,0.04073830706893072,11.821817913716275,MIDDLE,,0.5397818254603683,MIDDLE342017-07-09,
0,5.9428258822930715,245,245MIDDLE,5.712348286303148,2017-07-09,,7.210427215592478,2.3025999884187596,7.13,0.040058451914432705,9.415359009991084,MIDDLE,,0.498918602580087,MIDDLE2452017-07-09,
0,9.619399938769263,98,98TOP,4.476757832431881,2017-07-09,,3.822481885906725,3.002593021069009,7.13,0.03995142823943676,8.94665623226787,TOP,,0.4733136034289213,TOP982017-07-09,
0,6.103167608481518,8,8MIDDLE,5.256415573643009,2017-07-09,,6.405775312354192,2.3797477093627637,7.13,0.03932151746660351,10.78193035596489,MIDDLE,,0.5057545751464565,MIDDLE82017-07-09,
0,12.949150770838777,89,89DUO_SUPPORT,5.466866997648289,2017-07-09,,1.9471126208518421,2.7248263764416847,7.13,0.03900758135328209,6.371223832086017,DUO_SUPPORT,,0.4978834596289522,DUO_SUPPORT892017-07-09,
0,6.699552160168598,104,104JUNGLE,5.393361433087461,2017-07-09,,5.859510010537408,2.328614969814196,7.13,0.03869160669377027,9.93419655490674,JUNGLE,,0.46219704952581664,JUNGLE1042017-07-09,
0,7.261382528020593,76,76JUNGLE,5.2405480774387305,2017-07-09,,6.5933662251300476,2.6437594977512395,7.13,0.03801277081236745,11.568220772738595,JUNGLE,,0.4952003003164048,JUNGLE762017-07-09,
0,6.506523139697197,429,429DUO_CARRY,5.7188070439171055,2017-07-09,,7.218135939009986,2.3999164464388816,7.13,0.037969961342369074,8.502029205712258,DUO_CARRY,,0.49900676473746375,DUO_CARRY4292017-07-09,
0,12.712466432269316,12,12DUO_SUPPORT,5.137620774618643,2017-07-09,,1.7761413028432214,2.8201006595680473,7.13,0.03681716347169852,6.934674453768133,DUO_SUPPORT,,0.5068242850419423,DUO_SUPPORT122017-07-09,
0,12.944282339863832,37,37DUO_SUPPORT,5.2070584965958036,2017-07-09,,2.4217590662776156,2.9510022628298183,7.13,0.0366785423307514,9.225798758930088,DUO_SUPPORT,,0.5271918855078505,DUO_SUPPORT372017-07-09,
0,6.185770084581448,126,126TOP,5.592828841992863,2017-07-09,,6.057211903223087,2.189050002009727,7.13,0.03627287163886203,10.750360089746076,TOP,,0.5019248602017591,TOP1262017-07-09,
0,8.829343959015228,99,99MIDDLE,5.035263981784546,2017-07-09,,6.475850291731891,3.0396011621465795,7.13,0.03581216019983189,10.083567193945852,MIDDLE,,0.4884588017646222,MIDDLE992017-07-09,
0,10.534022518501454,143,143DUO_SUPPORT,5.9988481584933915,2017-07-09,,3.397442911855329,2.3223567362064497,7.13,0.03539629677699052,8.1798120082554,DUO_SUPPORT,,0.5008206870734587,DUO_SUPPORT1432017-07-09,
0,7.45278666781997,90,90MIDDLE,5.045872617708964,2017-07-09,,5.709713692587147,2.608567706250071,7.13,0.03535144876080175,11.404439077152656,MIDDLE,,0.5465790156560851,MIDDLE902017-07-09,
0,7.861977054119828,163,163MIDDLE,5.824197473635415,2017-07-09,,6.67050063738556,2.4951897248144537,7.13,0.03518123015390344,10.515362653927847,MIDDLE,,0.5040850620002317,MIDDLE1632017-07-09,
0,6.185530612845333,112,112MIDDLE,5.294771837947572,2017-07-09,,6.143163964812145,2.328465693138628,7.13,0.034644073232733344,8.990280568846046,MIDDLE,,0.4698873164847451,MIDDLE1122017-07-09,
0,9.738895360994116,63,63DUO_SUPPORT,6.812528004301461,2017-07-09,,4.6045941990023005,2.105457702476947,7.13,0.034122205407991234,8.583708381968611,DUO_SUPPORT,,0.5082295307225857,DUO_SUPPORT632017-07-09,
0,4.199395227687794,23,23TOP,5.316188138079698,2017-07-09,,5.590341606538726,1.841495556581778,7.13,0.03404474065275608,13.070996883483764,TOP,,0.5282775964791473,TOP232017-07-09,
0,5.631375626244945,164,164TOP,6.019677672481439,2017-07-09,,6.336391621898955,1.9881076528156585,7.13,0.033772594736337834,9.15146289573017,TOP,,0.49674050823927085,TOP1642017-07-09,
0,7.245397087111844,68,68TOP,5.664895728374706,2017-07-09,,5.400903789197276,2.2323978203103523,7.13,0.03338221314087645,10.195548447788529,TOP,,0.5027022075661812,TOP682017-07-09,
0,5.500645280235989,105,105MIDDLE,6.019604228121927,2017-07-09,,8.844026548672566,2.382992516666497,7.13,0.03317122361017017,11.339548513858848,MIDDLE,,0.5107239429695182,MIDDLE1052017-07-09,
0,6.949008678026224,35,35JUNGLE,5.406251979476784,2017-07-09,,6.403179831506936,2.469768068565939,7.13,0.03218252870782672,10.527807870935497,JUNGLE,,0.4982580604294673,JUNGLE352017-07-09,
0,6.3028768039759155,80,80TOP,6.024785752970786,2017-07-09,,7.465290388352607,2.2852542408731336,7.13,0.03199396318521483,10.770766148278621,TOP,,0.5325432476345217,TOP802017-07-09,
0,6.1810405554996475,69,69MIDDLE,5.632115662003958,2017-07-09,,6.091711113347422,2.1790659860987858,7.13,0.030385550240990135,8.212400403836364,MIDDLE,,0.49059072154573813,MIDDLE692017-07-09,
0,7.49826815078858,254,254JUNGLE,5.731479301879813,2017-07-09,,5.843999058412079,2.3278924177261984,7.13,0.030310124031945378,9.815593937226144,JUNGLE,,0.5000504422100414,JUNGLE2542017-07-09,
0,8.301516683518706,28,28JUNGLE,5.576811594202899,2017-07-09,,7.484361307718234,2.830627810278973,7.13,0.030241832734567015,11.725658428677638,JUNGLE,,0.5022581732389619,JUNGLE282017-07-09,
0,9.318130067276178,3,3TOP,5.13782991202346,2017-07-09,,3.2498533724340177,2.4461657265645984,7.13,0.02954363066435541,8.359796447718281,TOP,,0.4524754183198206,TOP32017-07-09,
0,7.806926652709272,21,21DUO_CARRY,5.4767041623789074,2017-07-09,,6.9019552180547175,2.6857178030180315,7.13,0.02872413509581507,11.439678019218661,DUO_CARRY,,0.5158440083744367,DUO_CARRY212017-07-09,
0,7.977577956159308,54,54TOP,4.567999382525471,2017-07-09,,4.4257486878666255,2.7152645185272797,7.13,0.026411404442807568,9.33165150047123,TOP,,0.49899660389008954,TOP542017-07-09,
0,6.768966892700439,96,96DUO_CARRY,5.900797766254487,2017-07-09,,6.826884722776226,2.304070085782077,7.13,0.02555317649664965,10.128853573525626,DUO_CARRY,,0.5142800159553251,DUO_CARRY962017-07-09,
