,Unnamed: 0,player10champid,player10lane,player10role,player10summonerid,player10summonername,player1champid,player1lane,player1role,player1summonerid,player1summonername,player2champid,player2lane,player2role,player2summonerid,player2summonername,player3champid,player3lane,player3role,player3summonerid,player3summonername,player4champid,player4lane,player4role,player4summonerid,player4summonername,player5champid,player5lane,player5role,player5summonerid,player5summonername,player6champid,player6lane,player6role,player6summonerid,player6summonername,player7champid,player7lane,player7role,player7summonerid,player7summonername,player8champid,player8lane,player8role,player8summonerid,player8summonername,player9champid,player9lane,player9role,player9summonerid,player9summonername
2078437727,,42.0,MIDDLE,SOLO,22005573.0,caaaaaaaaaaaaake,76.0,JUNGLE,NONE,390600.0,C9 Meteos,236.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife,7.0,MIDDLE,SOLO,30206248.0,ktsmurf XD,98.0,TOP,SOLO,37910602.0,twi tv trixondog,12.0,BOTTOM,DUO_SUPPORT,21498922.0,TR Linsanity,81.0,BOTTOM,DUO_CARRY,66541554.0,Unknown JungIer,40.0,BOTTOM,DUO_SUPPORT,66401633.0,SKT Frost,203.0,JUNGLE,NONE,21124626.0,Rikara,114.0,TOP,SOLO,27794083.0,Gillette
2078420894,,13.0,JUNGLE,NONE,72680640.0,Eveloken,38.0,TOP,SOLO,465551.0,lIlIlIIIIlIIIlII,76.0,JUNGLE,NONE,21193032.0,dog2,40.0,BOTTOM,DUO,307822.0,1onz,236.0,BOTTOM,DUO,19930588.0,Shynon,133.0,MIDDLE,SOLO,22941674.0,Nebulite,28.0,JUNGLE,NONE,53630931.0,Young Spoderz,238.0,MIDDLE,SOLO,21498922.0,TR Linsanity,201.0,BOTTOM,DUO,26851284.0,Liquid Painless,42.0,BOTTOM,DUO,19806051.0,TR Strife
2078291836,,236.0,BOTTOM,DUO_CARRY,19806051.0,TR Strife,81.0,BOTTOM,DUO_CARRY,22076548.0,TheIntenseMango,25.0,BOTTOM,DUO_SUPPORT,21786647.0,Cosmic Death,103.0,MIDDLE,SOLO,25005620.0,R I P Mcbaze,58.0,TOP,SOLO,20962682.0,Sheep6,64.0,JUNGLE,NONE,25060965.0,Hollywood NA,92.0,TOP,SOLO,23765764.0,Akunorogia,60.0,JUNGLE,NONE,37481045.0,InsanityXXX,7.0,MIDDLE,SOLO,21498922.0,TR Linsanity,78.0,BOTTOM,DUO_SUPPORT,68441133.0,TedddyRO
2078172638,,40.0,BOTTOM,DUO_SUPPORT,22928703.0,TheLastAirbender,102.0,JUNGLE,NONE,48535716.0,eeladin,236.0,BOTTOM,DUO_CARRY,23855467.0,Shorthop,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,34.0,TOP,SOLO,43807141.0,iluvcurry69,111.0,BOTTOM,DUO_SUPPORT,22143513.0,Lord Christo II,421.0,JUNGLE,NONE,38318616.0,Tolemeo,105.0,MIDDLE,SOLO,22141445.0,SandPaperX,78.0,TOP,SOLO,40703542.0,Unpleasant,81.0,BOTTOM,DUO_CARRY,40835255.0,Stebb
2078056945,,223.0,BOTTOM,DUO_SUPPORT,35613563.0,Q1035716423,117.0,MIDDLE,SOLO,19360235.0,eryf,429.0,BOTTOM,DUO_CARRY,20132258.0,Doublelift,12.0,BOTTOM,DUO_SUPPORT,73120157.0,yellowStar1,154.0,JUNGLE,NONE,35221469.0,Liquid Inori,150.0,TOP,SOLO,66541554.0,Unknown JungIer,42.0,MIDDLE,SOLO,21498922.0,TR Linsanity,236.0,BOTTOM,DUO_CARRY,59884386.0,QQ1035716423q,114.0,TOP,SOLO,27794083.0,Gillette,60.0,JUNGLE,NONE,31555234.0,jamee
2078016859,,412.0,BOTTOM,DUO_SUPPORT,23623012.0,YOUMADSIS,60.0,JUNGLE,NONE,32672912.0,Damonte,236.0,BOTTOM,DUO_CARRY,21557951.0,EvanRL,117.0,TOP,SOLO,19360235.0,eryf,127.0,MIDDLE,SOLO,20167809.0,Zerrsog,40.0,BOTTOM,DUO_SUPPORT,22292020.0,Clyde Bot,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,203.0,JUNGLE,NONE,31555234.0,jamee,2.0,TOP,SOLO,35613563.0,Q1035716423,22.0,BOTTOM,DUO_CARRY,59884386.0,QQ1035716423q
2077938487,,15.0,BOTTOM,DUO_CARRY,22141445.0,SandPaperX,40.0,BOTTOM,DUO_SUPPORT,40661961.0,The Tank Man,7.0,MIDDLE,SOLO,73469273.0,IlilillIIllIl,76.0,JUNGLE,NONE,21747804.0,Yami,223.0,TOP,SOLO,41745551.0,Darsuo,42.0,BOTTOM,DUO_CARRY,20024304.0,Slooshi8,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,421.0,JUNGLE,NONE,69892366.0,BestGravesCnMA,13.0,TOP,SOLO,22033467.0,VoiDBosS,267.0,BOTTOM,DUO_SUPPORT,24560785.0,ALLAHU AKBAAAARD
2077931462,,133.0,TOP,SOLO,21498922.0,TR Linsanity,78.0,BOTTOM,DUO_SUPPORT,34680633.0,Koby,134.0,MIDDLE,SOLO,581716.0,Wolfelol,51.0,BOTTOM,DUO_CARRY,20779460.0,King Brew,23.0,TOP,SOLO,37774807.0,BJRodgers,60.0,JUNGLE,NONE,47161782.0,Arachnoph0bia,76.0,JUNGLE,NONE,68159208.0,DW shernfire ROC,40.0,BOTTOM,DUO_SUPPORT,40661961.0,The Tank Man,103.0,MIDDLE,SOLO,26074904.0,I AM TOO NASTY,236.0,BOTTOM,DUO_CARRY,32299406.0,I AM TOO BUFF
2077895818,,114.0,TOP,SOLO,32672912.0,Damonte,4.0,MIDDLE,SOLO,21498922.0,TR Linsanity,76.0,JUNGLE,NONE,21747804.0,Yami,26.0,BOTTOM,DUO_SUPPORT,24560785.0,ALLAHU AKBAAAARD,236.0,BOTTOM,DUO_CARRY,20026563.0,baddies tilt me,54.0,TOP,SOLO,25244896.0,Kunbee,112.0,MIDDLE,SOLO,32311909.0,Ragexx,60.0,JUNGLE,NONE,69892366.0,BestGravesCnMA,429.0,BOTTOM,DUO_CARRY,53373482.0,An Nuo l,412.0,BOTTOM,DUO_SUPPORT,19360235.0,eryf
2077849467,,150.0,TOP,SOLO,24444602.0,King Kenneth,238.0,MIDDLE,SOLO,32311909.0,Ragexx,121.0,JUNGLE,NONE,24250693.0,Quest and K0,25.0,BOTTOM,DUO_SUPPORT,51536565.0,carlyraejepsen69,429.0,BOTTOM,DUO_CARRY,53373482.0,An Nuo l,27.0,TOP,SOLO,19470447.0,Minishcap1,127.0,MIDDLE,SOLO,28039649.0,Chunkylol,60.0,JUNGLE,NONE,21262532.0,SAGA KevinC,16.0,BOTTOM,DUO_SUPPORT,23258384.0,TheBadW0lf,236.0,BOTTOM,DUO_CARRY,21498922.0,TR Linsanity
